GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0015908	fatty acid transport	0.030990812095678052	0.030990812095678052	+1	DRD3,SLC1A1,DRD4,SNAP25,DRD2,APOE,SLC1A2,IL1B,BDKRB2,ACE,SLC25A17
GO:0051963	regulation of synapse assembly	0.031579667087368035	0.031579667087368035	+1	NRXN1,BDNF,SLITRK1,SETD5,SLITRK3,PTPRD,CBLN1,SYNDIG1
GO:0050803	regulation of synapse structure or activity	0.03187814236530651	0.03187814236530651	+1	NRXN1,GRIN2B,APOE,BDNF,SLITRK1,SETD5,SLITRK3,TNF,PTPRD,CFL1,CBLN1,SYNDIG1
GO:0051580	regulation of neurotransmitter uptake	0.03659304089733051	0.03659304089733051	+1	DRD3,DRD4,DRD2,DRD1,TOR1A
GO:0060191	regulation of lipase activity	0.039359094770082585	0.039359094770082585	+1	BDNF,HRAS,HTR2A,NTRK3,RGS2,HTR2B,ESR1,ADRA1A,NTRK2,KIT
GO:0051480	regulation of cytosolic calcium ion concentration	0.03964226883655273	0.03964226883655273	+1	DRD3,GRIN2B,DRD2,DRD1,CACNA1A,DLG4,HTR2A,RYR3,HTR2B,ESR1,OPRM1,NPSR1,ADCY8,ADRA1A,CCKBR,CACNA1C,BDKRB2,GPR20
GO:0098657	import into cell	0.04513886796611374	0.04513886796611374	+1	DRD3,SLC1A1,SLC6A3,DRD4,SNAP25,DRD2,DRD1,HCN4,SLC1A2,SLC6A2,SLC6A4,SLC6A5,SLC22A3,TOR1A,SLC43A1
GO:0007613	memory	0.04711505961605713	0.04711505961605713	+1	APOE,BDNF,CHRNA7,PSEN1,COMT,SCN2A,ADCY8,CCND2
REAC:R-HSA-375280	Amine ligand-binding receptors	7.730456096619715e-18	7.730456096619715e-18	+1	DRD3,DRD4,HTR1A,DRD2,DRD1,ADRA2A,ADRB1,CHRM4,CHRM5,HTR1D,HTR2A,HTR2B,HRH1,ADRB2,HTR1B,CHRM2,ADRA1A,CHRM1,TAAR1
REAC:R-HSA-112315	Transmission across Chemical Synapses	1.865127711094004e-10	1.865127711094004e-10	+1	SLC1A1,SLC6A3,GRIA3,GRIA4,GRIK1,GRIK2,GRIK3,GRIK5,GRIN2B,SNAP25,CACNA1A,CHRNA7,DLG4,GAD2,HRAS,HTR3A,SLC1A2,SLC6A4,CHRNA4,COMT,HTR3C,HTR3E,GABRA1,GABRA6,GABRG2,GABBR1,ADCY8,TUBAL3,GNG8,CACNA2D3
REAC:R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	3.267069301966753e-9	3.267069301966753e-9	+1	DRD3,DRD4,HTR1A,DRD2,DRD1,ADRA2A,ADRB1,CHRM4,CHRM5,HTR1D,HTR2A,MC4R,MTNR1B,ADORA2A,HTR2B,POMC,HRH1,OXTR,CXCL8,MTNR1A,ADRB2,CNR1,HTR1B,OPRM1,CHRM2,NPSR1,ADRA1A,CCKBR,CHRM1,BDKRB2,CCL2,TAAR1
REAC:R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	0.0000029806920617383053	0.0000029806920617383053	+1	GRIA3,GRIA4,GRIK1,GRIK2,GRIK3,GRIK5,GRIN2B,CHRNA7,DLG4,HRAS,HTR3A,CHRNA4,HTR3C,HTR3E,GABRA1,GABRA6,GABRG2,GABBR1,ADCY8,TUBAL3,GNG8
REAC:R-HSA-6794362	Protein-protein interactions at synapses	0.0000050967179773464764	0.0000050967179773464764	+1	NRXN1,GRIA3,GRIA4,GRIN2B,DLG4,DLGAP1,DLGAP3,NTRK3,SLITRK1,SLITRK5,SLITRK3,DLGAP2,PTPRD,PTPRS
REAC:R-HSA-1236394	Signaling by ERBB4	0.0001859318329965805	0.0001859318329965805	+1	WWP1,APOE,DLG4,HRAS,PSEN1,EGF,GABRA1,GABRG2,ESR1,ADAM17
REAC:R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	0.00023087957192669234	0.00023087957192669234	+1	DRD1,ADRB1,MC4R,ADORA2A,GHRH,GNAS,POMC,ADRB2,CRHR2,IL6,NPSR1,ADCY8,GPR20,GNG8,TAAR1
REAC:R-HSA-390651	Dopamine receptors	0.0006237941374617615	0.0006237941374617615	+1	DRD3,DRD4,DRD2,DRD1
REAC:R-HSA-390648	Muscarinic acetylcholine receptors	0.0006237941374617615	0.0006237941374617615	+1	CHRM4,CHRM5,CHRM2,CHRM1
REAC:R-HSA-451308	Activation of Ca-permeable Kainate Receptor	0.0006789024497844624	0.0006789024497844624	+1	GRIK1,GRIK2,GRIK3,GRIK5,DLG4
REAC:R-HSA-451306	Ionotropic activity of kainate receptors	0.0006789024497844624	0.0006789024497844624	+1	GRIK1,GRIK2,GRIK3,GRIK5,DLG4
REAC:R-HSA-388844	Receptor-type tyrosine-protein phosphatases	0.0014461109158104804	0.0014461109158104804	+1	NTRK3,SLITRK1,SLITRK5,SLITRK3,PTPRD,PTPRS
REAC:R-HSA-390666	Serotonin receptors	0.002051942731523044	0.002051942731523044	+1	HTR1A,HTR1D,HTR2A,HTR2B,HTR1B
REAC:R-HSA-8849932	Synaptic adhesion-like molecules	0.002778954196008222	0.002778954196008222	+1	GRIA3,GRIA4,GRIN2B,DLG4,PTPRD,PTPRS
REAC:R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	0.006099466029698395	0.006099466029698395	+1	APOE,ESR1,EP300,KIT,MYC,SUMO1,VEGFA
REAC:R-HSA-9664433	Leishmania parasite growth and survival	0.008180826794317553	0.008180826794317553	+1	DRD1,ADRB1,MC4R,ADORA2A,GHRH,GNAS,POMC,ADRB2,CRHR2,IL6,NPSR1,ADCY8,FCGR1A,GPR20,GNG8,ADAM17,TAAR1
REAC:R-HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection	0.008180826794317553	0.008180826794317553	+1	DRD1,ADRB1,MC4R,ADORA2A,GHRH,GNAS,POMC,ADRB2,CRHR2,IL6,NPSR1,ADCY8,FCGR1A,GPR20,GNG8,ADAM17,TAAR1
REAC:R-HSA-390696	Adrenoceptors	0.014578663284659458	0.014578663284659458	+1	ADRA2A,ADRB1,ADRB2,ADRA1A
REAC:R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	0.023797917107644083	0.023797917107644083	+1	NOS2,RORA,IL1B,POMC,CXCL8,OPRM1,TNF,IL6,CCL2,MYC,VEGFA
REAC:R-HSA-166520	Signaling by NTRKs	0.0243279914022937	0.0243279914022937	+1	GRIN2B,BDNF,HRAS,NTRK3,TPH1,ADORA2A,NTRK2,BRAF,EP300,EGR3,JUND,PTPRS
REAC:R-HSA-451326	Activation of kainate receptors upon glutamate binding	0.02541419623223151	0.02541419623223151	+1	GRIK1,GRIK2,GRIK3,GRIK5,DLG4,GNG8
REAC:R-HSA-9658195	Leishmania infection	0.04466754153873989	0.04466754153873989	+1	DRD1,ADRB1,MC4R,ADORA2A,GHRH,GNAS,IL1B,POMC,ADRB2,CRHR2,IL6,NPSR1,ADCY8,FCGR1A,GPR20,ARPC1B,GNG8,ADAM17,TAAR1
